Stop_distance_mm,Right_distance_mm,Left_distance_mm,Decision,Moving_distance_mm
0.171820931,25,31,left,10
0.684330111,31,44,left,10
0.032925176,33,44,left,10
0.353214086,25,39,left,10
0.368955155,30,44,left,12
0.176209954,34,37,left,11
0.27819049,31,26,right,12
0.422136532,32,27,right,12
0.462422458,30,27,right,12
0.006403143,28,26,right,10
0.828758612,34,36,left,12
0.55053198,34,39,left,11
0.47397383,34,25,right,10
0.539148313,34,30,right,10
0.696348974,35,33,right,10
0.266808407,25,37,left,15
0.9136093,30,27,right,12
0.412547289,32,26,right,15
0.665679726,26,34,left,15
0.647291924,33,40,left,11
0.139293153,29,42,left,13
0.432818706,31,40,left,14
0.520204532,34,26,right,12
0.678750103,32,28,right,15
0.915320253,30,33,left,13
0.345005322,28,26,right,10
0.106415342,29,34,left,15
0.978255888,32,40,left,14
0.049212384,33,41,left,14
0.871360856,30,33,left,14
0.261898321,25,25,left,14
0.299911148,26,25,right,12
0.969017738,33,29,right,12
0.896897798,34,44,left,15
0.728412709,33,29,right,10
0.67504024,33,38,left,11
0.367013203,28,42,left,12
0.834898345,27,33,left,14
0.337204566,28,28,left,13
0.978171938,34,35,left,12
0.501221915,26,38,left,15
0.039972422,28,25,right,12
0.890050441,27,39,left,14
0.956425392,27,37,left,12
0.026751855,34,40,left,13
0.034613413,25,25,left,14
0.986658372,25,27,left,11
0.600327136,29,25,right,10
0.873931135,26,43,left,11
0.840007022,31,37,left,14
0.789294352,25,26,left,10
0.142788798,34,29,right,14
0.399587805,33,41,left,13
0.348282228,35,43,left,11
0.715929665,32,31,right,10
0.930820861,35,39,left,13
0.549564408,26,45,left,12
0.895162475,30,45,left,11
0.62573849,28,26,right,14
0.84124633,30,26,right,14
0.303835866,31,33,left,11
0.657130973,35,30,right,13
0.03516076,25,39,left,15
0.142561653,32,40,left,15
0.236838124,27,39,left,10
0.480491687,30,39,left,10
0.185709436,33,25,right,15
0.120916372,33,43,left,11
0.403612272,30,37,left,13
0.773036273,30,33,left,10
0.152069528,27,34,left,15
0.765280201,33,37,left,13
0.734446611,34,30,right,13
0.369367354,25,27,left,15
0.899010711,26,30,left,15
0.690659232,27,45,left,13
0.330867075,30,39,left,10
0.034698543,28,36,left,11
0.181064216,29,38,left,12
0.136915263,28,29,left,10
0.048145377,34,39,left,12
0.317716208,27,27,left,14
0.999174959,28,26,right,15
0.595147955,26,39,left,12
0.110548412,34,42,left,13
0.478083206,32,42,left,14
0.772879312,25,34,left,12
0.893496431,30,36,left,15
0.272632222,25,43,left,15
0.843317383,25,29,left,12
0.233938258,27,36,left,14
0.293446545,27,32,left,15
0.307395229,30,38,left,14
0.398284447,29,26,right,10
0.86498057,34,28,right,15
0.862064095,34,31,right,11
0.615994797,34,33,right,12
0.188290703,29,42,left,14
0.966150805,28,34,left,15
0.228647949,33,42,left,11
0.458854652,26,27,left,13
0.707563561,32,41,left,12
0.15605645,26,42,left,14
0.81371648,26,44,left,10
0.267535232,32,29,right,13
0.297994178,25,40,left,13
0.562703356,25,30,left,11
0.464134679,31,28,right,11
0.009780572,27,36,left,10
0.868938542,28,31,left,13
0.751265059,26,38,left,13
0.923518659,25,38,left,10
0.367347897,30,40,left,12
0.289315699,34,40,left,11
0.324597449,30,36,left,10
0.110527598,30,41,left,10
0.407647529,28,45,left,14
0.551167216,35,33,right,13
0.500034515,35,42,left,13
0.470965747,32,39,left,14
0.74024916,26,25,right,14
0.205959386,31,28,right,14
0.351024909,35,32,right,14
0.487280557,31,26,right,12
0.307599425,25,36,left,13
0.60153465,25,27,left,11
0.642006977,29,30,left,15
0.988516706,27,28,left,15
0.074725463,30,41,left,14
0.536881106,35,33,right,11
0.617258331,28,41,left,14
0.86994946,31,28,right,14
0.351157949,33,35,left,10
0.154361176,31,29,right,15
0.67881183,32,25,right,12
0.393996156,29,45,left,13
0.519140966,30,26,right,14
0.189521402,30,32,left,13
0.009617095,30,28,right,12
0.353500197,31,27,right,11
0.317679394,27,45,left,10
0.327616456,26,35,left,14
0.899784098,25,45,left,11
0.841793643,28,31,left,10
0.945970156,30,36,left,10
0.710267304,25,41,left,11
0.435636008,32,43,left,12
0.493570024,25,45,left,13
0.833314742,25,28,left,13
0.468363331,30,37,left,12
0.721337885,25,36,left,14
0.018468949,26,36,left,13
0.738085043,29,32,left,14
0.995825735,32,31,right,15
0.435349455,31,40,left,12
0.88688218,25,45,left,12
0.010035877,34,38,left,14
0.728213273,26,33,left,15
0.633044647,31,25,right,10
0.488465696,26,32,left,11
0.364706475,25,25,left,15
0.067192777,32,32,left,15
0.359454146,26,33,left,13
0.350656452,27,35,left,14
0.746304909,31,32,left,11
0.856206061,31,43,left,12
0.076876551,33,45,left,13
0.825978898,29,35,left,14
0.031638383,33,45,left,15
0.399543393,28,32,left,11
0.021224231,26,35,left,15
0.066707761,33,28,right,11
0.811780381,25,42,left,10
0.874821918,26,30,left,15
0.203093712,27,30,left,15
0.671875512,30,33,left,10
0.877784132,32,45,left,14
0.315839546,34,37,left,11
0.597974938,34,27,right,11
0.960568955,32,41,left,15
0.635947765,32,36,left,15
0.760785509,27,26,right,14
0.943096076,32,42,left,10
0.615626722,34,31,right,10
0.061252998,26,26,left,12
0.602015272,32,27,right,11
0.523188232,33,44,left,10
0.239786545,31,29,right,15
0.015010261,28,36,left,12
0.857835376,33,36,left,15
0.185827935,27,41,left,12
0.868772485,31,37,left,12
0.31152537,34,37,left,14
0.435007555,28,30,left,12
0.827459886,33,30,right,10
0.004647913,30,45,left,11
0.095828777,31,33,left,10
0.625138022,32,37,left,10
0.946908039,31,26,right,12
0.70574439,33,27,right,12
0.482370057,31,33,left,13
0.955066193,25,35,left,12
0.092323642,32,34,left,13
0.09126801,30,33,left,15
0.433264145,27,32,left,12
0.62760969,34,34,left,13
0.660590092,31,35,left,11
0.898553744,30,35,left,11
0.457154309,25,28,left,14
0.876607853,25,34,left,11
0.162108921,25,38,left,13
0.890737547,28,44,left,15
0.744557526,28,38,left,11
0.665048083,34,25,right,14
0.202038248,31,38,left,14
0.453871512,35,34,right,11
0.635263914,33,34,left,10
0.62942205,29,41,left,12
0.779056932,30,44,left,15
0.47287738,26,40,left,11
0.063657499,31,30,right,11
0.33625212,29,45,left,12
0.093197665,32,29,right,12
0.144109615,34,44,left,15
0.869508224,30,34,left,13
0.828143392,25,39,left,14
0.032660072,28,37,left,10
0.153991289,28,32,left,11
0.189625271,29,31,left,11
0.252205876,26,44,left,13
0.161690352,33,28,right,14
0.599079358,33,44,left,10
0.249451392,28,35,left,14
0.781935766,35,35,left,11
0.824637004,34,44,left,12
0.666498177,31,41,left,11
0.347896785,28,40,left,13
0.104272292,25,38,left,13
0.990277238,27,36,left,15
0.249267438,30,32,left,10
0.678452565,26,27,left,11
0.749421319,28,35,left,14
0.692267531,29,44,left,12
0.561490138,27,26,right,10
0.439811246,26,27,left,13
0.944572008,28,42,left,14
0.394008985,30,37,left,11
0.436566193,34,39,left,12
0.524179827,35,41,left,15
0.633190143,33,41,left,15
0.367558625,32,42,left,10
0.543432647,30,43,left,15
0.057789803,33,33,left,11
0.962681671,27,38,left,13
0.451226255,30,45,left,13
0.171174573,31,40,left,12
0.681611842,25,43,left,14
0.895642997,28,34,left,10
0.729991423,29,41,left,12
0.888351801,29,33,left,12
0.987314776,34,33,right,13
0.326536808,28,26,right,12
0.690266529,35,30,right,12
0.89696195,35,28,right,11
0.726234072,28,45,left,12
0.099547641,29,40,left,10
0.553596776,33,33,left,12
0.904661519,35,35,left,12
0.387342438,26,41,left,10
0.283399544,35,43,left,11
0.17998913,33,37,left,12
0.814720804,32,29,right,13
0.167158488,32,36,left,15
0.663342133,30,44,left,12
0.934925772,32,45,left,11
0.84811138,30,26,right,11
0.63367142,35,32,right,11
0.878148314,27,35,left,12
0.752069416,33,32,right,10
0.475008541,32,29,right,10
0.80111401,32,43,left,14
0.335846476,31,39,left,11
0.512422191,34,39,left,13
0.749611449,29,37,left,11
0.879439889,27,27,left,10
0.768207281,31,41,left,14
0.940605408,34,42,left,11
0.019217897,31,37,left,13
0.1331283,28,42,left,10
0.652063761,34,29,right,14
0.815689115,28,29,left,11
0.258876705,27,30,left,12
0.16548773,34,28,right,10
0.877375969,28,39,left,15
0.617085768,30,45,left,14
0.589295383,32,41,left,10
0.024283991,29,35,left,12
0.215539328,29,44,left,10
0.320487843,26,44,left,14
0.298075019,31,29,right,14
0.517480822,31,40,left,14
0.330829792,34,30,right,14
0.841334618,29,32,left,10
0.203541447,30,44,left,12
0.649007799,33,31,right,11
0.673749572,35,43,left,15
0.145861392,30,29,right,12
0.592975763,35,25,right,10
0.182511393,33,41,left,14
0.353331082,35,30,right,15
0.085383533,27,30,left,10
0.725338631,27,42,left,10
0.145596403,27,40,left,15
0.267190079,33,39,left,13
0.190653405,29,39,left,12
0.914787529,35,31,right,13
0.506685542,28,33,left,11
0.187089983,32,44,left,10
0.219290503,27,35,left,14
0.847003268,30,43,left,10
0.209891436,27,26,right,10
0.602727889,31,37,left,12
0.669426938,35,39,left,14
0.469425717,33,25,right,10
0.903258676,34,43,left,11
0.674241887,33,39,left,10
0.385904224,31,40,left,10
0.616434592,29,34,left,10
0.355129528,33,28,right,12
0.705400142,35,34,right,12
0.174530807,29,41,left,11
0.901269434,31,39,left,10
0.656753547,33,40,left,13
0.146023973,33,28,right,13
0.427664501,31,45,left,13
0.026388719,26,31,left,14
0.066705483,25,39,left,11
0.044691631,35,29,right,15
0.723128928,26,33,left,10
0.090989002,25,44,left,10
0.429929541,33,39,left,11
0.375496754,26,30,left,12
0.162377512,31,44,left,15
0.246588246,33,26,right,14
0.342156092,26,44,left,15
0.43760384,28,45,left,12
0.441280331,31,45,left,13
0.333201252,31,40,left,10
0.201493407,25,25,left,13
0.494848064,34,31,right,12
0.323213206,32,32,left,15
0.182631792,26,34,left,10
0.868788699,25,29,left,14
0.888492328,31,35,left,13
0.810243365,28,40,left,12
0.617031224,26,25,right,13
0.892243223,28,43,left,14
0.003669698,34,44,left,15
0.91574097,27,44,left,12
0.497275459,28,43,left,11
0.285582029,35,41,left,11
0.228064084,31,25,right,15
0.145510544,33,25,right,14
0.05407018,30,34,left,14
0.782762068,33,28,right,10
0.49685245,25,25,left,13
0.697077444,25,29,left,12
0.255963396,26,25,right,11
0.077301258,27,38,left,10
0.304203706,27,40,left,12
0.68625489,26,43,left,15
0.616575074,32,39,left,14
0.891309771,32,29,right,10
0.835966809,32,31,right,10
0.88664097,26,28,left,15
0.891180322,34,31,right,11
0.269232422,34,28,right,10
0.224489412,25,31,left,15
0.018658538,25,29,left,14
0.686407502,33,43,left,12
0.551711264,33,31,right,10
0.739880833,28,41,left,10
0.465269436,29,45,left,13
0.746995538,25,36,left,12
0.126986835,29,38,left,15
0.606266577,32,40,left,10
0.095655945,30,40,left,10
0.697883349,28,30,left,13
0.159825839,27,37,left,14
0.23291129,33,39,left,10
0.120493,31,37,left,10
0.231373521,35,29,right,10
0.932190629,35,38,left,15
0.936968687,25,38,left,11
0.593753288,26,31,left,10
0.490670843,33,42,left,10
0.538131733,32,33,left,11
0.434824813,34,36,left,11
0.946839787,26,30,left,13
0.965864529,33,28,right,10
0.872730166,28,25,right,15
0.433472188,32,45,left,11
0.334236371,26,39,left,12
0.503502926,30,30,left,10
0.044160064,26,38,left,12
0.846198349,31,25,right,15
0.665250933,26,31,left,14
0.586678523,28,26,right,14
0.341195705,28,32,left,11
0.162320173,27,37,left,10
0.731014093,30,30,left,11
0.493209944,31,36,left,13
0.043952375,28,45,left,15
0.965387752,27,27,left,10
0.850136826,33,37,left,11
0.328196692,33,37,left,10
0.914044798,29,31,left,12
0.568476512,34,40,left,15
0.046706652,32,43,left,11
0.253330812,30,36,left,12
0.50530305,34,26,right,15
0.341364854,30,44,left,11
0.501448104,29,27,right,10
0.262303499,32,37,left,14
0.258005279,30,43,left,15
0.241961318,32,42,left,11
0.895865785,31,32,left,10
0.152276291,26,35,left,15
0.058300987,28,32,left,11
0.81562935,27,44,left,13
0.743578249,32,33,left,10
0.627644609,29,25,right,10
0.072917394,25,36,left,12
0.02683621,28,45,left,14
0.819870815,33,37,left,14
0.453661844,33,38,left,14
0.633505936,30,41,left,13
0.1828391,28,33,left,14
0.560532068,34,43,left,12
0.108130394,35,31,right,15
0.45769624,33,42,left,14
0.75206523,30,27,right,11
0.752155295,34,26,right,10
0.761567789,25,25,left,10
0.948706631,32,38,left,13
0.223626238,32,35,left,15
0.77050571,25,33,left,10
0.169293633,30,38,left,15
0.412522755,32,41,left,14
0.607142916,35,41,left,15
0.392377192,28,35,left,13
0.983211374,32,27,right,12
0.03862978,31,31,left,15
0.209003282,30,37,left,13
0.325375753,33,42,left,14
0.080147834,28,37,left,14
0.479616693,33,38,left,13
0.418094048,26,34,left,11
0.645609964,27,42,left,11
0.000754184,29,35,left,15
0.07827833,31,26,right,15
0.126220363,25,32,left,15
0.903440134,26,41,left,11
0.840447991,34,29,right,15
0.856415725,28,33,left,10
0.420871781,34,34,left,10
0.530694527,27,36,left,10
0.75876546,33,25,right,14
0.861300737,32,28,right,13
0.419090878,34,37,left,13
0.917221855,33,29,right,15
0.842175354,28,34,left,14
0.557362046,31,38,left,15
0.787833773,27,39,left,12
0.742220211,30,26,right,10
0.498026991,35,36,left,10
0.520720002,30,31,left,12
0.969719651,32,25,right,12
0.942027949,30,37,left,13
0.176392479,26,27,left,14
0.084289028,31,38,left,15
0.23812466,27,45,left,11
0.087022156,33,27,right,10
0.593903919,32,44,left,15
0.027118623,33,35,left,12
0.005215752,28,35,left,12
0.621096045,34,32,right,12
0.709293868,26,40,left,11
0.062333684,29,33,left,14
0.315692063,31,43,left,10
0.306510052,25,31,left,10
0.039858651,33,28,right,11
0.046804465,35,41,left,12
0.201245453,28,33,left,13
0.77739456,25,25,left,10
0.701087254,25,39,left,12
0.941040183,28,39,left,15
0.995183221,27,32,left,15
0.448921036,25,35,left,10
0.539327018,34,32,right,11
0.773951853,32,41,left,12
0.822235275,29,43,left,10
0.212462923,30,30,left,12
0.823757949,30,36,left,11
0.260264162,31,42,left,15
0.885398569,29,30,left,15
0.193908059,34,32,right,12
0.975679239,34,39,left,14
0.77546979,35,41,left,10
0.406044361,29,40,left,13
0.053149166,31,33,left,14
0.552444651,34,32,right,10
0.231321229,26,37,left,13
0.396419504,31,25,right,10
0.675527411,35,32,right,15
0.363255264,34,34,left,13
0.049799822,29,42,left,15
0.39469983,25,39,left,12
0.885957305,32,36,left,15
0.106887905,25,34,left,10
0.93080171,30,43,left,14
0.545880006,34,29,right,10
0.510659941,32,37,left,12
0.990160764,34,30,right,12
0.501602018,31,45,left,12
0.591390863,30,35,left,12
0.997765726,28,41,left,10
0.724457009,31,26,right,13
0.230131096,32,32,left,11
0.412452086,32,30,right,14
0.539902676,30,30,left,14
0.795722937,33,37,left,13
0.053184764,34,42,left,14
0.736104026,34,37,left,15
0.371183569,26,35,left,13
0.64183609,32,35,left,11
0.083636182,25,35,left,11
0.863887662,28,30,left,10
0.106894774,25,26,left,12
0.655955132,32,30,right,11
0.451408312,29,43,left,13
0.928941697,26,37,left,15
0.012663922,29,36,left,12
0.308566976,33,26,right,13
0.796128249,33,33,left,11
0.38207281,35,27,right,15
0.689080899,32,30,right,12
0.809967008,29,26,right,13
0.13501296,27,41,left,11
0.7319167,34,42,left,11
0.090282921,30,27,right,11
0.302386875,30,39,left,14
0.76627139,26,44,left,12
0.140105012,26,32,left,12
0.889018386,35,30,right,15
0.595903055,25,30,left,10
0.47626406,28,43,left,14
0.930150047,32,41,left,12
0.203152384,30,29,right,11
0.130036153,26,33,left,13
0.782279921,34,26,right,11
0.773787457,32,29,right,11
0.079767969,35,30,right,10
0.601761133,32,27,right,13
0.453057017,32,36,left,10
0.163579267,29,39,left,10
0.060711011,25,27,left,12
0.702398025,29,45,left,12
0.716792987,30,30,left,13
0.521919763,32,42,left,13
0.051469892,33,31,right,10
0.125363368,28,33,left,12
0.41766763,29,35,left,15
0.973060627,31,28,right,13
0.813268928,25,32,left,13
0.979362005,35,36,left,15
0.666386489,33,36,left,13
0.06360076,28,33,left,11
0.637937455,30,36,left,14
0.374950227,26,36,left,13
0.822009393,34,43,left,10
0.790871445,25,30,left,13
0.806041207,33,44,left,13
0.666876101,27,43,left,15
0.769229646,26,35,left,11
0.208514785,28,34,left,15
0.355172317,30,34,left,14
0.24144914,26,42,left,15
0.399493255,28,41,left,11
0.516821621,31,37,left,11
0.00950314,30,39,left,13
0.253251979,25,29,left,12
0.399979232,31,32,left,10
0.069063222,32,26,right,12
0.905961713,32,30,right,15
0.191428493,28,36,left,14
0.195287635,26,27,left,11
0.957293492,26,37,left,11
0.218876911,35,26,right,14
0.373185939,31,41,left,15
0.085285401,27,44,left,14
0.871786695,31,45,left,11
0.505388449,25,39,left,12
0.846607935,25,37,left,12
0.636616456,29,45,left,15
0.714701333,27,29,left,15
0.481937223,34,35,left,11
0.956157073,27,43,left,13
0.423606294,32,43,left,14
0.052886985,25,35,left,15
0.71591745,34,34,left,10
0.016254623,28,41,left,14
0.500120868,34,40,left,12
0.557887092,28,33,left,12
0.784381776,27,29,left,10
0.823677399,32,29,right,15
0.433032691,28,34,left,10
0.86707703,26,34,left,13
0.6469801,26,30,left,10
0.36859542,32,36,left,11
0.259707869,28,37,left,15
0.623726402,35,40,left,10
0.36034634,26,30,left,11
0.079657251,27,37,left,15
0.422634348,30,39,left,11
0.073969688,27,36,left,11
0.891169045,32,31,right,13
0.184377238,31,33,left,15
0.36635025,35,27,right,13
0.831697737,26,45,left,10
0.148629191,29,32,left,15
0.012901614,27,28,left,10
0.416739297,33,31,right,11
0.196023081,30,28,right,12
0.035338006,31,40,left,14
0.521477346,26,44,left,11
0.366881892,32,29,right,10
0.68515685,26,35,left,14
0.713479184,35,36,left,13
0.130688982,31,27,right,11
0.751839624,32,35,left,10
0.448392003,29,31,left,10
0.74644338,34,25,right,11
0.651165313,33,27,right,10
0.523566646,29,44,left,13
0.628975653,27,38,left,15
0.299795482,34,26,right,10
0.439460547,27,39,left,15
0.430092207,33,29,right,13
0.478983081,33,34,left,13
0.573221113,31,41,left,15
0.429107993,27,37,left,12
0.623092344,27,39,left,14
0.988630334,30,34,left,13
0.493744831,27,44,left,12
0.775595226,31,43,left,11
0.563892433,27,27,left,12
0.200275233,31,30,right,13
0.587807231,34,32,right,14
0.452727257,31,32,left,10
0.339545887,34,26,right,14
0.918835746,32,45,left,15
0.411198941,34,43,left,11
0.63199256,34,38,left,13
0.892387532,32,26,right,11
0.894712021,27,32,left,15
0.101831179,30,45,left,11
0.264979753,25,39,left,13
0.228927359,32,43,left,11
0.613549936,25,44,left,11
0.997331439,25,37,left,12
0.924319233,32,35,left,10
0.606106513,35,38,left,12
0.149907005,35,37,left,10
0.09981759,30,30,left,10
0.978435009,29,38,left,12
0.022699689,32,38,left,11
0.75959971,25,29,left,15
0.32694969,25,45,left,12
0.579847822,30,43,left,10
0.63844175,30,37,left,15
0.185475564,31,44,left,15
0.69079511,26,45,left,13
0.251359465,26,39,left,13
0.871784219,34,42,left,15
0.562035553,33,29,right,11
0.782626255,28,32,left,11
0.60232446,29,26,right,10
0.981320572,28,31,left,14
0.125685702,35,44,left,11
0.265507685,27,35,left,11
0.322063625,28,45,left,14
0.739005032,25,36,left,10
0.487477893,29,38,left,14
0.330167906,31,25,right,10
0.858477321,28,35,left,14
0.614900621,26,28,left,12
0.243006815,34,32,right,13
0.161661164,26,37,left,14
0.835111378,25,27,left,10
0.221491461,34,26,right,13
0.887776507,28,31,left,10
0.975092942,35,44,left,14
0.336862714,25,44,left,10
0.464216406,29,37,left,14
0.808576126,33,30,right,11
0.544956581,34,45,left,11
0.670594184,32,31,right,10
0.898899622,32,27,right,15
0.625811305,26,42,left,11
0.75447208,26,26,left,11
0.958583765,30,36,left,12
0.67059029,29,40,left,15
0.221757693,29,31,left,11
0.386133145,29,37,left,13
0.874073477,32,42,left,10
0.027916576,29,27,right,10
0.469567435,30,32,left,13
0.749736257,32,29,right,15
0.022048328,25,40,left,12
0.698586381,31,32,left,15
0.021615581,29,28,right,11
0.78952995,32,32,left,11
0.413668631,26,35,left,10
0.930861545,27,40,left,15
0.667706902,30,38,left,11
0.900510941,25,29,left,10
0.195317427,33,28,right,12
0.446689294,25,40,left,15
0.050990532,35,32,right,10
0.45167834,28,37,left,11
0.469402808,28,45,left,14
0.689203718,29,37,left,15
0.651111893,29,27,right,14
0.709504486,31,44,left,12
0.119145053,27,28,left,10
0.560015288,26,38,left,10
0.469371969,34,37,left,13
0.786754269,35,31,right,13
0.096621451,35,40,left,12
0.695884295,32,38,left,11
0.319185544,32,31,right,10
0.596114698,28,33,left,10
0.052739251,31,38,left,14
0.995496397,26,28,left,15
0.151041696,33,29,right,15
0.843257487,26,40,left,14
0.484402702,26,37,left,15
0.93249537,34,36,left,12
0.366056332,29,32,left,10
0.073726817,32,43,left,13
0.092627589,33,31,right,14
0.127226398,30,39,left,14
0.740618946,33,34,left,13
0.776705802,31,37,left,11
0.598798968,34,29,right,10
0.686624651,28,33,left,12
0.885987099,28,35,left,14
0.082911366,33,37,left,11
0.577894374,30,36,left,10
0.291113073,26,43,left,10
0.550874148,32,40,left,14
0.427429572,26,43,left,12
0.971718427,33,29,right,15
0.099655024,28,26,right,10
0.171326855,28,42,left,10
0.949540298,32,39,left,11
0.916135734,34,34,left,10
0.310022071,31,42,left,10
0.989614633,31,29,right,13
0.507999281,35,25,right,13
0.649546523,35,37,left,12
0.132023887,34,34,left,14
0.105376516,34,45,left,15
0.584762811,27,26,right,15
0.70443161,33,38,left,10
0.662615742,30,27,right,14
0.779648881,25,28,left,15
0.786110459,29,30,left,10
0.734753881,35,45,left,12
0.930784271,30,40,left,10
0.076152395,32,37,left,14
0.728914949,30,36,left,10
0.513188446,35,43,left,13
0.01151337,35,31,right,13
0.000980423,28,43,left,11
0.469654836,26,30,left,15
0.595697852,29,42,left,10
0.295722465,31,45,left,10
0.52166671,26,35,left,13
0.947485783,28,38,left,11
0.038003409,28,31,left,13
0.387432973,32,41,left,15
0.145865062,25,44,left,11
0.195909309,25,36,left,15
0.177175542,34,28,right,15
0.568308541,31,45,left,12
0.787595506,30,30,left,11
0.629281932,31,32,left,14
0.00325601,27,28,left,10
0.275085465,26,40,left,12
0.549224729,33,43,left,15
0.386604064,27,31,left,12
0.378356384,26,26,left,15
0.718869597,25,39,left,12
0.082531144,34,33,right,14
0.338805154,25,44,left,12
0.476332439,30,40,left,15
0.85130067,25,40,left,15
0.297646115,29,41,left,12
0.600427747,34,29,right,11
0.122787577,25,44,left,10
0.200344317,35,36,left,11
0.033579442,25,28,left,14
0.471506918,35,29,right,14
0.620548683,29,30,left,13
0.126178734,31,35,left,14
0.136782114,30,41,left,10
0.621083379,31,45,left,14
0.641815911,28,26,right,10
0.513769502,31,44,left,13
0.462076988,25,41,left,13
0.731045039,25,33,left,11
0.818824495,28,37,left,12
0.371089773,26,35,left,11
0.0828537,25,25,left,14
0.583411138,34,41,left,12
0.543210472,29,34,left,13
0.495081189,30,39,left,13
0.90077968,27,38,left,14
0.148666588,34,30,right,14
0.586542191,35,29,right,13
0.056474832,34,45,left,12
0.130212065,26,28,left,10
0.837967882,28,36,left,14
0.008043629,29,32,left,11
0.610956142,31,45,left,11
0.306183965,32,40,left,13
0.445140879,31,29,right,15
0.238938827,30,32,left,10
0.033638233,25,42,left,13
0.950659119,29,25,right,15
0.863454241,33,32,right,10
0.316014022,32,40,left,10
0.066573541,33,45,left,10
0.846304905,25,34,left,14
0.684655028,33,32,right,11
0.248144427,30,42,left,12
0.88298666,31,30,right,12
0.203526775,31,31,left,12
0.509792586,30,42,left,14
0.234226588,26,28,left,13
0.486954721,26,38,left,10
0.691682654,32,26,right,13
0.886877471,30,32,left,15
0.508403606,28,26,right,10
0.300235641,28,39,left,15
0.52625953,28,25,right,14
0.914823598,33,28,right,12
0.348723729,25,43,left,10
0.553253587,26,27,left,15
0.674271426,33,25,right,11
0.057667189,25,26,left,13
0.566867383,35,37,left,11
0.026688331,35,27,right,11
0.823674198,34,45,left,15
0.777920502,34,33,right,11
0.144483115,30,37,left,12
0.371404712,30,34,left,11
0.131751121,31,40,left,11
0.659086823,30,34,left,10
0.263420652,25,40,left,13
0.183685962,25,29,left,12
0.148882356,28,41,left,11
0.977637427,33,39,left,14
0.442079945,25,45,left,11
0.097423375,26,31,left,11
0.907831273,33,25,right,12
0.317412173,35,34,right,12
0.416475119,34,43,left,10
0.216973729,35,40,left,11
0.162794749,29,42,left,15
0.867659516,30,28,right,10
0.8248852,33,33,left,10
0.289673491,33,36,left,13
0.064168824,34,25,right,12
0.913264367,32,43,left,15
0.283214045,26,29,left,14
0.8554799,29,34,left,11
0.828016896,33,37,left,15
0.965653493,29,37,left,11
0.22329449,26,41,left,11
0.678446975,30,25,right,14
0.170991161,30,25,right,13
0.673315263,27,32,left,15
0.615828665,28,30,left,15
0.190399044,33,45,left,15
0.362157611,33,33,left,15
0.409919657,31,26,right,10
0.107122763,34,42,left,10
0.211958534,34,36,left,10
0.567068084,26,38,left,14
0.589167706,27,32,left,15
0.223503424,34,28,right,12
0.345358604,33,43,left,14
0.172237724,25,30,left,13
0.133988224,26,42,left,14
0.520098297,34,35,left,10
0.811277452,31,43,left,10
0.305793832,26,27,left,10
0.811265371,32,26,right,15
0.708814383,27,28,left,12
0.925472023,34,26,right,13
0.31600067,33,38,left,10
0.505620307,29,37,left,15
0.443860379,27,26,right,13
0.886680783,30,36,left,13
0.197556654,32,30,right,12
0.182306792,34,44,left,12
0.116575635,28,31,left,10
0.850597377,32,38,left,12
0.273165808,35,31,right,11
0.309455344,25,31,left,15
0.678029323,33,41,left,11
0.693066896,29,33,left,12
0.733335124,28,28,left,10
0.042771533,32,28,right,14
0.551413824,33,43,left,14
0.059360141,29,42,left,10
0.265894811,27,43,left,12
0.872932966,28,44,left,12
0.907641685,32,41,left,10
0.763779617,34,27,right,11
0.658436637,29,43,left,14
0.944660685,35,39,left,11
0.143657188,31,44,left,15
0.768330085,32,28,right,13
0.973258068,29,26,right,12
0.619388782,33,27,right,15
0.667787357,30,27,right,14
0.511324148,31,42,left,15
0.364599692,32,30,right,13
0.085284754,29,43,left,13
0.356160035,34,39,left,11
0.75551753,31,33,left,10
0.00207465,29,44,left,15
0.796201605,33,25,right,15
0.833838241,33,28,right,10
0.121187724,28,41,left,13
0.614120845,33,25,right,15
0.939410155,32,35,left,10
0.237041592,33,38,left,14
0.705688352,35,29,right,12
0.647243389,27,25,right,12
0.474593273,33,34,left,10
0.181470841,26,43,left,10
0.638090782,35,39,left,12
0.133121872,25,39,left,14
0.266156353,26,37,left,14
0.588578113,26,31,left,10
0.029850108,33,29,right,15
0.486774683,32,39,left,12
0.2712258,35,45,left,14
0.433374684,35,34,right,12
0.924501803,31,40,left,12
0.099368451,25,37,left,12
0.370292091,29,44,left,15
0.018327225,32,33,left,10
0.54233956,29,38,left,13
0.956746779,31,33,left,15
0.736328765,29,40,left,13
0.892569699,25,44,left,14
0.3379177,29,27,right,15
0.131586357,35,29,right,10
0.27398205,34,39,left,15
0.189759635,27,26,right,12
0.425576718,31,43,left,11
0.151438046,34,35,left,11
0.853152098,27,30,left,15
0.644184282,28,35,left,13
0.225506705,26,32,left,11
0.131748742,25,33,left,12
0.108331073,30,45,left,14
0.466427425,33,33,left,15
0.459159582,35,33,right,13
0.490254522,34,43,left,15
0.207766724,31,32,left,14
0.523277234,32,39,left,10
0.888620817,34,39,left,11
0.386936828,29,33,left,13
0.155123381,32,30,right,11
0.131043291,35,44,left,14
0.915657254,34,26,right,12
0.207593811,30,38,left,15
0.788165734,35,43,left,15
0.591948784,30,32,left,10
0.045018272,31,35,left,10
